,pop_name,s,params,target_angle,recurrent,binsize
0,e5ET,58.55841318978768,[0.47917147 9.44857709 0.55769672],0,w/o recurrent,10
1,i5Pvalb,55.543626689069555,[ 0.45098764 10.50210953  0.559206  ],0,w/o recurrent,10
2,i5Sst,53.93982207555314,[ 0.77598704 11.13591715  0.2147868 ],0,w/o recurrent,10
0,e5ET,49.885705648403984,[ 0.62401957 13.01945397  0.35913095],0,w/ recurrent,10
1,i5Pvalb,61.28659346014112,[0.49016977 8.6260912  0.47647418],0,w/ recurrent,10
2,i5Sst,57.91365413782344,[0.76192451 9.66013229 0.21188982],0,w/ recurrent,10
0,e5ET,60.41377381732442,[0.46219415 8.87714021 0.5306101 ],15,w/o recurrent,10
1,i5Pvalb,54.85735286818364,[ 0.45386839 10.76651913  0.55211642],15,w/o recurrent,10
2,i5Sst,56.994650419627334,[0.83566176 9.97417128 0.21905592],15,w/o recurrent,10
0,e5ET,53.19015130704785,[ 0.62124431 11.45203215  0.33378026],15,w/ recurrent,10
1,i5Pvalb,55.57814105032962,[ 0.49330396 10.48906984  0.50439657],15,w/ recurrent,10
2,i5Sst,60.84216133321684,[0.82076885 8.75257304 0.21693624],15,w/ recurrent,10
0,e5ET,61.3768997272452,[0.47339089 8.60072606 0.54758462],30,w/o recurrent,10
1,i5Pvalb,56.49364896959378,[ 0.46848514 10.15186318  0.5777488 ],30,w/o recurrent,10
2,i5Sst,56.17284437001231,[ 0.87192264 10.26814941  0.23261509],30,w/o recurrent,10
0,e5ET,51.673007810929285,[ 0.59612487 12.13437819  0.32962715],30,w/ recurrent,10
1,i5Pvalb,56.22046276468189,[ 0.50942443 10.25076266  0.45738876],30,w/ recurrent,10
2,i5Sst,61.08382004447107,[0.87354664 8.68345648 0.22908363],30,w/ recurrent,10
0,e5ET,63.15704526326985,[0.46662809 8.1227185  0.52626154],45,w/o recurrent,10
1,i5Pvalb,56.06790273554958,[ 0.45233295 10.30662293  0.56673292],45,w/o recurrent,10
2,i5Sst,57.19281894240149,[0.83789835 9.90517162 0.23051623],45,w/o recurrent,10
0,e5ET,51.99129677717967,[ 0.68452342 11.98626046  0.36747976],45,w/ recurrent,10
1,i5Pvalb,55.120547813924944,[ 0.51442165 10.66394656  0.44662148],45,w/ recurrent,10
2,i5Sst,59.338016239994225,[0.82335466 9.20193082 0.23757353],45,w/ recurrent,10
0,e5ET,65.84246383813678,[0.49169447 7.47365184 0.53461168],60,w/o recurrent,10
1,i5Pvalb,59.690371587985645,[0.42399178 9.09361253 0.5233196 ],60,w/o recurrent,10
2,i5Sst,54.75094622250428,[ 0.75256288 10.80840854  0.21619114],60,w/o recurrent,10
0,e5ET,53.70039830537456,[ 0.66160756 11.23543771  0.32716326],60,w/ recurrent,10
1,i5Pvalb,54.410547847798476,[ 0.59040046 10.94406875  0.47173375],60,w/ recurrent,10
2,i5Sst,56.940534296531965,[0.72193358 9.99313914 0.20868557],60,w/ recurrent,10
0,e5ET,65.17107284312549,[0.48706746 7.62843183 0.53592938],75,w/o recurrent,10
1,i5Pvalb,62.0507250984021,[0.45593213 8.41494513 0.55660457],75,w/o recurrent,10
2,i5Sst,53.841379296856786,[ 0.79126591 11.17667587  0.25175248],75,w/o recurrent,10
0,e5ET,55.436036042956715,[ 0.65699583 10.54291423  0.3096809 ],75,w/ recurrent,10
1,i5Pvalb,56.637362624283895,[ 0.66570112 10.10040915  0.45277937],75,w/ recurrent,10
2,i5Sst,55.52319171336971,[ 0.76420618 10.50984143  0.25117203],75,w/ recurrent,10
0,e5ET,63.350522369623526,[0.45569323 8.07317952 0.51073498],90,w/o recurrent,10
1,i5Pvalb,63.39645100378819,[0.45954034 8.06148625 0.56099278],90,w/o recurrent,10
2,i5Sst,54.143337350259586,[ 0.89243896 11.05235858  0.27807599],90,w/o recurrent,10
0,e5ET,56.00462001794885,[ 0.68728988 10.32992814  0.3056989 ],90,w/ recurrent,10
1,i5Pvalb,51.87696677006052,[ 0.5406509  12.03915096  0.37972911],90,w/ recurrent,10
2,i5Sst,55.032627467360086,[ 0.89447362 10.6980473   0.28261905],90,w/ recurrent,10
0,e5ET,62.2065676276075,[0.46949221 8.37283499 0.52289205],105,w/o recurrent,10
1,i5Pvalb,63.577421546460016,[0.47552173 8.01565818 0.58717263],105,w/o recurrent,10
2,i5Sst,58.150233929366244,[0.71351387 9.58168916 0.21706467],105,w/o recurrent,10
0,e5ET,55.66011348089585,[ 0.73292859 10.45819741  0.31971232],105,w/ recurrent,10
1,i5Pvalb,53.53626637296466,[ 0.58016119 11.30443471  0.38448759],105,w/ recurrent,10
2,i5Sst,57.23912811165413,[0.69773831 9.8891506  0.22210094],105,w/ recurrent,10
0,e5ET,61.45574843782264,[0.4745021  8.57867048 0.52734761],120,w/o recurrent,10
1,i5Pvalb,62.24777971535549,[0.47312914 8.36175194 0.58683887],120,w/o recurrent,10
2,i5Sst,59.41878188177105,[0.88779361 9.17693217 0.25882537],120,w/o recurrent,10
0,e5ET,53.87925111112678,[ 0.70872238 11.16096918  0.31787099],120,w/ recurrent,10
1,i5Pvalb,56.14585816230585,[ 0.64496228 10.27802245  0.41854801],120,w/ recurrent,10
2,i5Sst,59.539443775245424,[0.92765858 9.13977415 0.28315202],120,w/ recurrent,10
0,e5ET,59.91064376556474,[0.48713886 9.02686687 0.5413261 ],135,w/o recurrent,10
1,i5Pvalb,58.939980725909244,[0.39669898 9.32663608 0.50305695],135,w/o recurrent,10
2,i5Sst,57.289562220987456,[0.86243224 9.8717467  0.26212991],135,w/o recurrent,10
0,e5ET,52.5548526239826,[ 0.67105461 11.73057674  0.28896351],135,w/ recurrent,10
1,i5Pvalb,56.92828450979975,[0.57469311 9.99744023 0.38498597],135,w/ recurrent,10
2,i5Sst,57.85847559925058,[0.81120306 9.67856645 0.26114139],135,w/ recurrent,10
0,e5ET,59.52250810388794,[0.49224884 9.14497588 0.55170504],150,w/o recurrent,10
1,i5Pvalb,55.02723844918314,[ 0.47087015 10.7001428   0.61340975],150,w/o recurrent,10
2,i5Sst,57.218788798971644,[0.77096259 9.89618235 0.24252961],150,w/o recurrent,10
0,e5ET,49.77129511938277,[ 0.68506224 13.07937906  0.3000944 ],150,w/ recurrent,10
1,i5Pvalb,60.93979707931605,[0.62797787 8.72454933 0.42024348],150,w/ recurrent,10
2,i5Sst,59.004890828672266,[0.74345434 9.30612728 0.23711053],150,w/ recurrent,10
