,pop_name,s,params,target_angle,recurrent,binsize
0,e5ET,60.5599709545002,[0.59590999 8.83433154 0.43738869],0,w/o recurrent,10
1,i5Pvalb,57.64690351948251,[0.34823829 9.74974016 0.67161385],0,w/o recurrent,10
2,i5Sst,54.33852491942404,[ 0.72045722 10.97309958  0.28550277],0,w/o recurrent,10
0,e5ET,51.30129603096147,[ 0.4806654  12.31085841  0.56380573],0,w/ recurrent,10
1,i5Pvalb,61.9425369642774,[0.43073796 8.4443657  0.60345957],0,w/ recurrent,10
2,i5Sst,53.31480935204227,[ 0.78509032 11.39854161  0.22190097],0,w/ recurrent,10
0,e5ET,61.49646816550291,[0.57359161 8.56731355 0.41606772],15,w/o recurrent,10
1,i5Pvalb,56.10856736476321,[ 0.33690089 10.29168892  0.65587201],15,w/o recurrent,10
2,i5Sst,56.98065727153885,[0.76887235 9.97907074 0.30226762],15,w/o recurrent,10
0,e5ET,55.7020329588326,[ 0.47108349 10.44246236  0.52786395],15,w/ recurrent,10
1,i5Pvalb,49.41809016927496,[ 0.37910463 13.26701118  0.57968162],15,w/ recurrent,10
2,i5Sst,56.13444608067622,[ 0.88412969 10.2822019   0.24523289],15,w/ recurrent,10
0,e5ET,62.26885180432029,[0.59037909 8.35609358 0.42969526],30,w/o recurrent,10
1,i5Pvalb,57.408872192209216,[0.35549456 9.83075742 0.67115942],30,w/o recurrent,10
2,i5Sst,55.78561804891001,[ 0.75263477 10.41119336  0.2955711 ],30,w/o recurrent,10
0,e5ET,58.6934348521823,[0.49773836 9.40515502 0.54940244],30,w/ recurrent,10
1,i5Pvalb,49.57769984934175,[ 0.47302538 13.18172547  0.58667603],30,w/ recurrent,10
2,i5Sst,55.57209583362133,[ 0.79945678 10.49135199  0.22633578],30,w/ recurrent,10
0,e5ET,63.84616099149192,[0.58241862 7.94832164 0.41175057],45,w/o recurrent,10
1,i5Pvalb,56.515539616623485,[ 0.34416122 10.14400029  0.664505  ],45,w/o recurrent,10
2,i5Sst,57.23974545852409,[0.76563456 9.88893728 0.31149245],45,w/o recurrent,10
0,e5ET,60.8450979935505,[0.47739512 8.75172818 0.51782054],45,w/ recurrent,10
1,i5Pvalb,46.94210159431835,[ 0.37944178 14.7034738   0.53063074],45,w/ recurrent,10
2,i5Sst,57.621427637979856,[0.85142237 9.75836328 0.24033582],45,w/ recurrent,10
0,e5ET,65.0443737629947,[0.60532569 7.65817942 0.4184595 ],60,w/o recurrent,10
1,i5Pvalb,58.684467968966686,[0.33926149 9.40802942 0.64020828],60,w/o recurrent,10
2,i5Sst,55.42122454315798,[ 0.6693053  10.54855024  0.27870978],60,w/o recurrent,10
0,e5ET,62.987002549082575,[0.50612939 8.16663465 0.52085699],60,w/ recurrent,10
1,i5Pvalb,45.95515370550786,[ 0.4614006  15.34180874  0.55348305],60,w/ recurrent,10
2,i5Sst,52.8323205963508,[ 0.71645449 11.60768559  0.2259911 ],60,w/ recurrent,10
0,e5ET,64.2353304108799,[0.6036857  7.85230365 0.42406877],75,w/o recurrent,10
1,i5Pvalb,61.90250921612432,[0.3489697  8.45528991 0.65211357],75,w/o recurrent,10
2,i5Sst,55.49079870048464,[ 0.72103998 10.52211535  0.32892907],75,w/o recurrent,10
0,e5ET,60.809581892124456,[0.51205898 8.76195414 0.5302166 ],75,w/ recurrent,10
1,i5Pvalb,52.42107283516735,[ 0.43058381 11.79052655  0.54429025],75,w/ recurrent,10
2,i5Sst,52.76067806640076,[ 0.77695021 11.63923062  0.26133783],75,w/ recurrent,10
0,e5ET,63.45688977118225,[0.56544793 8.04613743 0.39953174],90,w/o recurrent,10
1,i5Pvalb,62.39700828954662,[0.34437706 8.32180386 0.64863545],90,w/o recurrent,10
2,i5Sst,57.203614279457895,[0.78669638 9.90143341 0.34574926],90,w/o recurrent,10
0,e5ET,59.42456941503082,[0.45696425 9.17514472 0.46245931],90,w/ recurrent,10
1,i5Pvalb,52.180567192724745,[ 0.4635119  11.89946454  0.55099371],90,w/ recurrent,10
2,i5Sst,53.35634340913881,[ 0.84873752 11.38080264  0.27900233],90,w/ recurrent,10
0,e5ET,62.41575657565195,[0.58352904 8.31680525 0.41676216],105,w/o recurrent,10
1,i5Pvalb,64.04109044801211,[0.36129077 7.90000878 0.66379902],105,w/o recurrent,10
2,i5Sst,60.490901549223366,[0.66332566 8.8545174  0.287701  ],105,w/o recurrent,10
0,e5ET,56.09278189120779,[ 0.49019514 10.29748225  0.49778856],105,w/ recurrent,10
1,i5Pvalb,56.99713087200585,[0.52792525 9.97330317 0.64369759],105,w/ recurrent,10
2,i5Sst,57.303057411030515,[0.74198189 9.86709754 0.23248595],105,w/ recurrent,10
0,e5ET,61.91687761792223,[0.58499908 8.45136611 0.4190063 ],120,w/o recurrent,10
1,i5Pvalb,62.957436790635725,[0.36927735 8.1743068  0.69429776],120,w/o recurrent,10
2,i5Sst,61.782489556395156,[0.77859407 8.48817259 0.32858406],120,w/o recurrent,10
0,e5ET,55.087933875883756,[ 0.51580196 10.67657714  0.50544394],120,w/ recurrent,10
1,i5Pvalb,63.32701803384956,[0.44546423 8.07917348 0.53427601],120,w/ recurrent,10
2,i5Sst,58.62475651974925,[0.89643801 9.42720402 0.27129447],120,w/ recurrent,10
0,e5ET,61.13189860501901,[0.60226837 8.66980325 0.4288259 ],135,w/o recurrent,10
1,i5Pvalb,60.82495850760952,[0.32344973 8.75752463 0.60936961],135,w/o recurrent,10
2,i5Sst,59.84192217573884,[0.75496221 9.04761142 0.33537181],135,w/o recurrent,10
0,e5ET,52.5236237670725,[ 0.50708867 11.74453014  0.50588953],135,w/ recurrent,10
1,i5Pvalb,59.75041432893431,[0.4594991  9.0753455  0.54450813],135,w/ recurrent,10
2,i5Sst,57.961016866112026,[0.81829394 9.64435122 0.24871182],135,w/ recurrent,10
0,e5ET,61.59541020896606,[0.61109621 8.53981193 0.43624685],150,w/o recurrent,10
1,i5Pvalb,58.46922323465036,[0.34838525 9.47742512 0.67606955],150,w/o recurrent,10
2,i5Sst,59.63760404089239,[0.70183999 9.10971176 0.31252137],150,w/o recurrent,10
0,e5ET,53.45962606560877,[ 0.5440383  11.33687027  0.53945337],150,w/ recurrent,10
1,i5Pvalb,64.80313828032132,[0.36632792 7.71530206 0.49550292],150,w/ recurrent,10
