,"exc","e23","e4","e5et","e5it","e5np","e6","pv","sst","vip","inh"
"exc",0.001790988383542,0.001713944289697,0.001875141532239,0.00183184578224,0.001738189186987,0.001752015314797,0.001752015314797,0.000905162575055,0.001275797668617,0.001677748410847,0.001041745527888
"e23",0.001592609271474,0.001713944289697,0.001875141532239,0.00183184578224,0.001738189186987,0.001752015314797,0.001752015314797,0.000905162575055,0.001275797668617,0.001665913163717,0.001059402897919
"e4",0.001853949615316,0.001713944289697,0.001853046136342,0.001944231683066,0.001738189186987,0.001752015314797,0.001752015314797,0.000849097958716,0.001275797668617,0.001677748410847,0.000918253638043
"e5et",0.001563571348073,0.001713944289697,0.001875141532239,0.001563571348073,0.001738189186987,0.001752015314797,0.001752015314797,0.000905162575055,0.001275797668617,0.001677748410847,0.001039929539507
"e5it",0.001738189186987,0.001713944289697,0.001875141532239,0.00183184578224,0.001798432212233,0.001752015314797,0.001752015314797,0.001061651359308,0.001232227859751,0.001677748410847,0.001203475454405
"e5np",0.001752015314797,0.001713944289697,0.001875141532239,0.00183184578224,0.001738189186987,0.001752015314797,0.001752015314797,0.000757973204013,0.001275797668617,0.001677748410847,0.000787452421045
"e6",0.001752015314797,0.001713944289697,0.001875141532239,0.00183184578224,0.001738189186987,0.001752015314797,0.001752015314797,0.000757973204013,0.001275797668617,0.001677748410847,0.000787452421045
"pv",0.001473467428307,0.001370360105111,0.00148592762499,0.00183322287435,0.001227917881112,0.00150304464727,0.00150304464727,0.001036836466789,0.00164859230067,0.00105980967938,0.00105980967938
"sst",0.002510844610428,0.002510844610428,0.001496270213245,0.00183322287435,0.00120142119665,0.00150304464727,0.00150304464727,0.001820899731139,0.001603123677543,0.001576747920368,0.001653703669187
"inh",0.00150304464727,0.001536659078943,0.001496270213245,0.00183322287435,0.00120142119665,0.00150304464727,0.00150304464727,0.001121943722909,0.001683826093263,0.001576747920368,0.00121772702786
"vip",0.00150304464727,0.001536659078943,0.001496270213245,0.00183322287435,0.00120142119665,0.00150304464727,0.00150304464727,0.002456332123482,0.002228045348568,0.002456332123482,0.002456332123482
